Qty,Description,Category,Manufacturer,Manufacturer,Vendor,Vendor part,Cost,Designator,,,,,,,,,,,
24,"Capacitor, 33 pF, 50V, 5%, NP0, 0402",Passives,AVX,04025A330JAT2A,DK,478-1076-1-ND,0.02,"C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C101, C102, C103, C104, C105, C106, C107, C108",,,,,,,,,,,
1,"DIP switch, 0.05"""" pitch, 2pos, 50V",Switches,CTS Electrocomponents,218-2LPST,DK,CT2182LPST-ND,1.06,SW1,,,,,,,,,,,
1,"M12-5 PCB header, right angle, male pins, shielded",Connectors,Conec,43-01211,DK,626-1513-ND,10.63,X4,,,,,,,,,,,
2,"Micro-Clasp header, 20pos, 2 rows, RA, through-hole",Connectors,Molex,55959-2030,NW,09J7572,1.13,"X2, X3",,,,,,,,,,,
1,"IC, DC/DC Conv, 180MHz, 3.3V-5V in, 3.3V/5V out",ICs,Analog Devices,ADUM5000ARWZ,NW,19P8235,6.99,IC11,,,,,,,,,,,
1,"Schottky rectifier, 30V, 1A, SMA",Passives,Diodes Inc,B130-13-F,DK,B130-FDICT-ND,0.43,D17,,,,,,,,,,,
4,"Inductor, Chip, 60ohm, 1.5A, 0603",Passives,Taiyo Yuden,BKP1608HS600-T,DK,587-1928-1-ND,0.047,"L1, L2, L3, L4",,,,,,,,,,,
4,"IC, Li-Ion battery monitor, LQFP-64",ICs,Texas Instruments,BQ76PL536APAPT,DK,296-28926-1-ND,12.34,"IC1, IC2, IC3, IC4",,,,,,,,,,,
3,"Capacitor, Ceramic, 470pF 50V, NP0, 0603",Passives,TDK,C1608C0G1H471J080AA,DK,445-1289-1-ND,0.012,"C165, C166, C167",,,,,,,,,,,
9,"Capacitor, Ceramic, 1UF, 16V, X5R, 10%, 0603",Passives,TDK,C1608X5R1C105K,NW,90R7675,0.013,"C6, C12, C18, C24, C30, C36, C42, C48, C192",,,,,,,,,,,
24,"Resistor, 1k ohm, 63 mW, 5%, Thick Film 0402",CRCW04021K00JNTD,Vishay Dale,CRCW04021K00JNTD,NW,23C6830,0.008,"R10, R11, R12, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67",,,,,,,,,,,
4,RES 2.00M OHM 1/16W 1% 0402 SMD,Passives,Vishay Dale,CRCW04022M00FKED,DK,541-2.00MLCT-ND,0.005,"R140, R141, R142, R143",,,,,,,,,,,
12,"Resistor, 1.47k ohm, 100 mW, 0603, 1%",Passives,Vishay Dale,CRCW06031K47FKEA,DK,541-1.47KHCT-ND,0.005,"R7, R9, R15, R40, R42, R80, R82, R84, R85, R87, R89, R90",,,,,,,,,,,
8,"Resistor, 1.82k ohm, 100 mW, 0603, 1%",Passives,Vishay Dale,CRCW06031K82FKEA,DK,541-1.82KHCT-ND,0.005,"R6, R8, R39, R41, R81, R83, R86, R88",,,,,,,,,,,
2,"Resistor, 510k ohm, 100 mW, 1%, Thick Film 0603",Passives,Vishay Dale,CRCW0603510KFKEA,NW,52K8595,0.005,"R148, R149",,,,,,,,,,,
1,"Choke, common mode, 100 uH, 500 mA, 25%",Passives,Bourns Inc,DR331-104AE,NW,29T3649,0.32,L6,,,,,,,,,,,
25,"Resistor, 1 kohm 100 mW, 1%, Thick Film, 0603",Passives,Panasonic,ERJ-3EKF1001V,NW,64R5308,0.012,"R1, R2, R3, R4, R5, R13, R14, R16, R17, R18, R20, R21, R22, R23, R24, R26, R27, R28, R29, R30, R32, R33, R34, R35, R36, R135",,,,,,,,,,,
1,"Resistor, 5.6 kohm, 100 mW, 1%, 0603",Passives,Panasonic,ERJ-3EKF5601V,NW,64R5354,0.096,R134,,,,,,,,,,,
2,"Resistor, 60.4 ohm, 100 mW, 1%, 0603",Passives,Panasonic,ERJ-3EKF60R4V,NW,65T8495,0.096,"R38, R43",,,,,,,,,,,
4,"Resistor, 5.5 ohm, 100 mW, 5%, 0603",Passives,Panasonic,ERJ-3GEYJ5R6V,NW,65T8659,0.002,"R44, R45, R46, R68",,,,,,,,,,,
2,"Resistor, 82 ohm, 125 mW, 5%, 0805",Passives,Panasonic,ERJ-6GEYJ820V,NW,53W4971,0.096,"R116, R117",,,,,,,,,,,
1,"Thermistor, NTC, 10 kohm, 1%, SMD, 0603, b = 3375 K",Passives,Panasonic,ERT-J1VG103FA,NW,55T6142,0.698,R114,,,,,,,,,,,
4,"N-channel MOSFET, 25V, 220 mA, SOT-23",Semiconductors,Fairchild Semiconductor,FDV301N,NW,58K8856,0.034,"Q37, Q39, Q40, Q41",,,,,,,,,,,
1,"0.05"""" male pin header, 2 rows, 14 positions (TI JTAG) - surface mount, vertical",Connectors,Samtec,FTS-107-01-F-DV,NW,56P3763,0.9,X6,,,,,,,,,,,
4,"Capacitor, Ceramic, 10 uF 6.3V, 20%, 0603, X5R",*,Murata,GRM188R60J106ME47D,NW,24R6334,0.12,"C52, C53, C173, C174",,,,,,,,,,,
